nr;Artikelid;Varnummer;Namn;Namn2;Prisinklmoms;Pant;Volymiml;PrisPerLiter;Saljstart;Utgatt;Varugrupp;Typ;Stil;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;SortimentText;Ekologisk;Etiskt;EtisktEtikett;Koscher;RavarorBeskrivning
7242901;1144096;72429;Sandahl;Riesling Bear Glue;268.00;;750.00;357.33;21/10/2016;0;Vitt vin;;;Flaska;;Badacsony;Ungern;Villa Sandahl Kft.;Sandahl International AB;2015;;14.00%;BS;Övrigt sortiment;0;0;;0;
7243901;1144114;72439;Sandahl;Riesling Tussilago Farfara;149.00;;750.00;198.67;21/10/2016;0;Vitt vin;;;Flaska;;Badacsony;Ungern;Villa Sandahl Kft.;Sandahl International AB;2015;;13.50%;BS;Övrigt sortiment;0;0;;0;
1153603;1144126;11536;Baronen;Hantverksbryggeriet;69.00;;330.00;209.09;21/10/2016;0;Öl;Ale brittisk-amerikansk stil;Barley wine;Flaska;;;Sverige;Hantverksbryggeriet;Brill & Co AB;2015;;9.00%;TSE;Små partier;0;0;;0;
7027609;1144193;70276;Sandahl Urval 2013;Riesling;1458.00;;4500.00;324.00;21/10/2016;0;Vitt vin;;;6 fl à 750 ml;;Badacsony;Ungern;Villa Sandahl Kft.;Sandahl International AB;2013;;14.00%;BS;Övrigt sortiment;0;0;;0;
7415001;1144198;74150;Sandahl;Dry Honey Riesling;327.00;;750.00;436.00;21/10/2016;0;Vitt vin;;;Flaska;;Badacsony;Ungern;Villa Sandahl Kft.;Sandahl International AB;2015;;14.50%;BS;Övrigt sortiment;0;0;;0;
9949001;1144224;99490;Reinhold Haart Goldtröpfchen;Riesling Grosses Gewächs;297.00;;750.00;396.00;02/12/2016;0;Vitt vin;Friskt & Fruktigt;;Flaska;Naturkork;Mosel;Tyskland;Reinhold Haart;Origo Wine Import;2015;;13.00%;TSE;Små partier;0;0;;0;Riesling.
7385401;1144227;73854;Sandahl;Wet Stones Riesling;199.00;;750.00;265.33;21/10/2016;0;Vitt vin;;;Flaska;;Badacsony;Ungern;Villa Sandahl Kft.;Sandahl International AB;2015;;14.00%;BS;Övrigt sortiment;0;0;;0;
9951401;1144230;99514;Reto;Bodegas y Viñedos Ponce;151.00;;750.00;201.33;02/12/2016;0;Vitt vin;Friskt & Fruktigt;;Flaska;Naturkork;Manchuela;Spanien;Bodegas y Viñedos Ponce;Quaffable Wines Sweden AB;2015;;13.50%;TSE;Små partier;0;0;;0;Albilla.
8940809;1144233;89408;Flensburger Beer Summer Mix;;580.80;;7920.00;73.33;06/10/2016;0;Öl;Annan öl;Öl av flera typer/stilar;24 fl à 330 ml;;;Tyskland;Flensburger Brauerei;Speedy Wine Store AB;;;5.40%;BS;Övrigt sortiment;0;0;;0;
7999001;1144236;79990;Sandahl;Riesling Count down;298.00;;750.00;397.33;21/10/2016;0;Vitt vin;;;Flaska;;Badacsony;Ungern;Villa Sandahl Kft.;Sandahl International AB;2013;;14.00%;BS;Övrigt sortiment;0;0;;0;
8966109;1144239;89661;Flensburger Beer Winter Mix;;580.80;;7920.00;73.33;06/10/2016;0;Öl;Annan öl;Öl av flera typer/stilar;24 fl à 330 ml;;;Tyskland;Flensburger Brauerei;Speedy Wine Store AB;;;5.40%;BS;Övrigt sortiment;0;0;;0;
9900501;1144242;99005;Reinhold Haart Piesporter;Riesling Trocken;155.00;;750.00;206.67;02/12/2016;0;Vitt vin;Friskt & Fruktigt;;Flaska;Naturkork;Mosel;Tyskland;Reinhold Haart;Origo Wine Import;2015;;12.50%;TSE;Små partier;0;0;;0;Riesling.
7545409;1144248;75454;Sandahl Urval;Riesling;1380.00;;4500.00;306.67;21/10/2016;0;Vitt vin;;;6 fl à 750 ml;;Badacsony;Ungern;Villa Sandahl Kft.;Sandahl International AB;2015;;14.00%;BS;Övrigt sortiment;0;0;;0;
7628301;1144251;76283;PX Eldvatten;;494.00;;750.00;658.67;07/10/2016;0;Rött vin;Sött;;Flaska;;;Spanien;Svenska Eldvatten;Svenska Eldvatten AB;;;20.00%;BS;Övrigt sortiment;0;0;;0;
1154403;1144254;11544;Oedipus Lekker Gezellig;;30.20;;330.00;91.52;02/12/2016;0;Öl;Ale brittisk-amerikansk stil;Brown ale;Flaska;;;Nederländerna;Oedipus Brewing;Bier & Co Sweden AB;;;6.50%;TSE;Små partier;0;0;;0;
1152701;1144257;11527;Brooklyn;Triple Burner;149.80;;750.00;199.73;02/12/2016;0;Öl;Ale belgisk stil;Trippel;Flaska;;;USA;Brooklyn Brewery;Carlsberg Sverige AB;;;10.60%;TSE;Små partier;0;0;;0;
7354601;1144313;73546;Massimo;Rosso Organico;89.00;;1000.00;89.00;21/10/2016;0;Rött vin;Kryddigt & Mustigt;;Flaska;Skruvkapsyl;;Italien;Massimo Benedetti;Iconic Wines;2015;;12.50%;BS;Övrigt sortiment;1;0;;0;
8964303;1144349;89643;Fakin IPA;;36.90;;330.00;111.82;11/10/2016;0;Öl;Ale brittisk-amerikansk stil;India pale ale (IPA);Flaska;;;Kroatien;Pivovara Medvedgrad;Triggollo Wine & Spirits AB;;;7.00%;BS;Övrigt sortiment;0;0;;0;
8966403;1144359;89664;Gricka Vjestica;;36.90;;330.00;111.82;11/10/2016;0;Öl;Mörk lager;Dubbelbock;Flaska;;;Kroatien;Pivovara Medvedgrad;Triggollo Wine & Spirits AB;;;7.50%;BS;Övrigt sortiment;0;0;;0;
7901401;1144362;79014;Terra Madre;Plavac Mali;127.00;;750.00;169.33;11/10/2016;0;Rött vin;;;Flaska;;Srednja i juzna dalmacija;Kroatien;Poljopromet d.o.o.;Triggollo Wine & Spirits AB;2013;;12.50%;BS;Övrigt sortiment;1;0;;0;
7476901;1144397;74769;Nederburg;The Winemasters Sauvignon Blanc;92.00;;750.00;122.67;12/10/2016;0;Vitt vin;;;Flaska;;Western Cape;Sydafrika;Nederburg Wines;Bibendum;2016;;13.50%;BS;Övrigt sortiment;0;0;;0;
9942701;1144495;99427;Barolo;Vigneto Rocche dellâAnnunziata;530.00;;750.00;706.67;03/03/2017;0;Rött vin;;;Flaska;Naturkork;Piemonte;Italien;Andrea Oberto;Prime Wine Sweden AB;2012;;15.00%;TSE;Små partier;0;0;;0;Nebbiolo.
9954701;1144505;99547;Radici Taurasi;Riserva;340.00;;750.00;453.33;17/03/2017;0;Rött vin;Stramt & Nyanserat;;Flaska;Naturkork;Kampanien;Italien;Mastroberardino;Tryffelsvinet AB;2009;;14.00%;TSE;Små partier;0;0;;0;Aglianico.
